Portal Identifier,Snapshot Identifier,Dataset Identifier,Organization,Wikidata URI (latest),DBpedai URI (latest)
"data_gov
",1847,9602aa07-3eff-438b-9904-151cfd114685,California Natural Resource Agency,https://www.wikidata.org/entity/Q5020712,
www_daten_rlp_de,1641,95548f0f-890f-4f28-a841-b427b84256a0,Open-Government-Data-Portal Rheinland-Pfalz,https://www.wikidata.org/entity/Q63428138,
govdata_de,1638,9552e0f2-422c-4c1b-8184-07c5606a75e8,Transparenzportal Hamburg,https://www.wikidata.org/entity/Q59273672,
data_gov_au,1624,955ac416-cf9f-4f87-a46e-056f704f1567,Australian Institute of Marine Science,https://www.wikidata.org/entity/Q4824311,http://dbpedia.org/resource/Australian_Institute_of_Marine_Science
daten_rlp_de,1624,955aee5c-44ad-4b1c-a5d7-aceca7002fd7,Statistisches Landesamt Rheinland-Pfalz,https://www.wikidata.org/entity/Q2333954,http://dbpedia.org/resource/Statistisches_Landesamt_Rheinland-Pfalz
dati_lombardia_it,1908,955p-js3a,regione lombardia,https://www.wikidata.org/entity/Q1210,
data_nsw_gov_au,1847,95605b9c-646b-404c-b608-ff4c8d508b30,"Department of Finance, Services and Innovation",https://www.wikidata.org/entity/Q17004340,http://dbpedia.org/resource/Department_of_Finance_and_Services_(New_South_Wales)
hubofdata_ru,1839,9560de8f-c232-4027-890d-be7b6264212a,Федеральная служба статистики,https://www.wikidata.org/entity/Q2624680,http://dbpedia.org/resource/Russian_Federal_State_Statistics_Service
annuario_comune_fi_it,1904,9566b783-e2af-4f32-9040-8e4aca938231,Annuario statistico dell'assistenza e della previdenza sociale. Istituto centrale di statistica (Italy),https://www.wikidata.org/entity/Q27720750,
dati_toscana_it,1642,9566b783-e2af-4f32-9040-8e4aca938231,Comune di Firenze,https://www.wikidata.org/entity/Q3685389,http://dbpedia.org/resource/Comune_di_Firenze
dados_gov_br,1804,956d431c-dd6f-4eed-ae87-16938f205411,Agência Nacional de Telecomunicações - Anatel,https://www.wikidata.org/entity/Q4056893,
data_cityofnewyork_us,1904,956k-76g6,Department of Buildings (DOB),https://www.wikidata.org/entity/Q13358874,http://dbpedia.org/resource/New_York_City_Department_of_Buildings
data_cityofnewyork_us,1840,956m-xy24,Department of Finance (DOF),https://www.wikidata.org/entity/Q7013165,http://dbpedia.org/resource/New_York_City_Department_of_Finance
iatiregistry_org,1718,95715aba-dcfe-4c2b-895b-04f4157358bf,United States Agency for International Development,https://www.wikidata.org/entity/Q217072,http://dbpedia.org/resource/United_States_Agency_for_International_Development
data_nsw_gov_au,1624,95775937-e5ca-43ac-9a3f-64e3a0397590,Department of Education and Communities,https://www.wikidata.org/entity/Q5260271,http://dbpedia.org/resource/Department_of_Education_(New_South_Wales)
data_nsw_gov_au,1904,95775937-e5ca-43ac-9a3f-64e3a0397590,Department of Education,https://www.wikidata.org/entity/Q5260265,http://dbpedia.org/resource/Department_of_Education_(Western_Australia)
opendata_swiss,1835,95784ecc-c9b0-45b6-8dab-e3dd8600ee38,Basel Historical Museum,https://www.wikidata.org/entity/Q386286,http://dbpedia.org/resource/Historical_Museum_Basel
hubofdata_ru,1839,9578f432-d208-4e57-8f47-5553cd285ee1,Центральный банк Российской Федерации,https://www.wikidata.org/entity/Q806651,http://dbpedia.org/resource/Central_Bank_of_Russia
data_qld_gov_au,1907,95790962-b6c8-45a6-91e6-4e815d940409,Housing and Public Works,https://www.wikidata.org/entity/Q19877300,http://dbpedia.org/resource/Department_of_Public_Works_(Queensland)
data_gov_uk,1624,957922a7-aad2-4f53-8174-99e7d1474706,Health and Social Care Information Centre,https://www.wikidata.org/entity/Q6030681,http://dbpedia.org/resource/Information_Centre_for_Health_and_Social_Care
data_gov_uk,1851,957922a7-aad2-4f53-8174-99e7d1474706,NHS Digital,https://www.wikidata.org/entity/Q6030681,http://dbpedia.org/resource/Information_Centre_for_Health_and_Social_Care
data_gov_uk,1851,957ad37c-e233-445c-83a9-5dceaa705c6e,Department of Health and Social Care,https://www.wikidata.org/entity/Q3044742,http://dbpedia.org/resource/Department_of_Health_and_Social_Care
data_oaklandnet_com,1840,957n-urxz,City of Oakland,https://www.wikidata.org/entity/Q17042,"http://dbpedia.org/resource/Oakland,_California"
data_cityofnewyork_us,1841,957q-w8zm,Department of Education (DOE),https://www.wikidata.org/entity/Q408230,http://dbpedia.org/resource/New_York_City_Department_of_Education
transparenz_hamburg_de,1626,95803487-a8cf-4021-889f-938f72ef8786,Institut für Hygiene und Umwelt,https://www.wikidata.org/entity/Q1362568,
iatiregistry_org,1904,95867219-1c64-47e8-b5d2-c58698b81db3,Denmark - Ministry of Foreign Affairs,https://www.wikidata.org/entity/Q3359275,http://dbpedia.org/resource/Ministry_of_Foreign_Affairs_(Denmark)
iatiregistry_org,1624,95867219-1c64-47e8-b5d2-c58698b81db3,Denmark - Danida - Danish Ministry of Foreigh Affairs,https://www.wikidata.org/entity/Q3359275,http://dbpedia.org/resource/Ministry_of_Foreign_Affairs_(Denmark)
iatiregistry_org,1849,9586d44b-4123-4560-a8b9-3015c97ee3f8,United Nations High Commissioner for Refugees (UNHCR),https://www.wikidata.org/entity/Q59668705,http://dbpedia.org/resource/United_Nations_High_Commissioner_for_Refugees
www_daten_rlp_de,1729,958a1b45-9244-4f6f-80b3-d371896196aa,Landkreis Mainz-Bingen,https://www.wikidata.org/entity/Q8569,http://dbpedia.org/resource/Mainz-Bingen
hubofdata_ru,1839,958ac4c5-0e1a-42b3-8a6d-f7b3c707efd7,ВНИИГМИ-МЦД,https://www.wikidata.org/entity/Q21637098,
data_gov_uk,1624,958dc27d-ed7b-485a-ad7b-b07cad6ed049,Department for Communities and Local Government,https://www.wikidata.org/entity/Q601819,http://dbpedia.org/resource/Department_for_Communities_and_Local_Government_(UK)
data_sa_gov_au,1749,9591b944-b25d-48bd-b36f-8146c45e9702,SA Health,https://www.wikidata.org/entity/Q50825462,http://dbpedia.org/resoruce/Government_of_South_Australia
data_gov_uk,1624,9596a5aa-1540-46e2-bf24-a57eb4ee23f5,Department of Health,https://www.wikidata.org/entity/Q3044742,http://dbpedia.org/resource/Department_of_Health_(United_Kingdom)
govdata_de,1804,959c97f3-ffa5-481c-b319-284138a01b83,Open.NRW,https://www.wikidata.org/entity/Q63432733,
daten_rlp_de,1729,959cdadb-741d-4e0f-901e-c927b25499d7,Verbandsgemeide Emmelshausen,https://www.wikidata.org/entity/Q559868,http://dbpedia.org/resource/Emmelshausen_(Verbandsgemeinde)
data_ny_gov,1915,959f-28y9,New York State Office of Temporary and Disability Assistance,https://www.wikidata.org/entity/Q30264277,http://dbpedia.org/resource/New_York_State_Department_of_Family_Assistance
offenedaten_de,1742,95a66b7e-6181-4042-ae48-ff2912e10b98,Moers,https://www.wikidata.org/entity/Q3132,http://dbpedia.org/resource/Moers
daten_rlp_de,1812,95a6b041-54b4-4758-b8c7-8bd7b915a3a4,"Landesamt für Umwelt, Naturschutz und Geologie Mecklenburg-Vorpommern",https://www.wikidata.org/entity/Q1802062,"http://dbpedia.org/resource/Landesamt_für_Umwelt,_Naturschutz_und_Geologie_Mecklenburg-Vorpommern"
govdata_de,1624,95a9259a-ef62-4223-9be3-36eb80cf276a,OpenData.HRO,https://www.wikidata.org/entity/Q59273868,
govdata_de,1851,95a9259a-ef62-4223-9be3-36eb80cf276a,Hanse- und Universitätsstadt Rostock,https://www.wikidata.org/entity/Q2861,
opencolorado_org,1839,95a98051-59ff-40f3-a01c-b8f46cd47803,City and County of Denver,https://www.wikidata.org/entity/Q16554,http://dbpedia.org/resource/Denver
daten_rlp_de,1813,95ab8eba-1a6e-477b-b185-dd2dd4cad47d,Landesamt für Vermessung und Geobasisinformationen,https://www.wikidata.org/entity/Q1802069,http://dbpedia.org/resource/Landesamt_für_Vermessung_und_Geobasisinformation_Rheinland-Pfalz
govdata_de,1805,95c9285e-6e96-455d-a00b-3d5cc6b53b00,Berlin Open Data,https://www.wikidata.org/entity/Q63427494,
dados_gov_br,1702,00a8908f-fa8d-4483-a8b0-f80b4b10cce9,Universidade Federal Rural do Semi-Árido,https://www.wikidata.org/entity/Q7894369,http://dbpedia.org/resource/Universidade_Federal_Rural_do_Semi-Árido
data_gov_au,1839,02d1bde6-0689-4a91-a2a3-7aa20a4e324d,Department of the Environment and Energy,https://www.wikidata.org/entity/Q28129565,http://dbpedia.org/resource/Minister_for_the_Environment_and_Energy
