Portal,Organization,Wikidata URI,DBpedia URI
130_179_67_140,Agriculture and Agri-Food Canada,http://www.wikidata.org/entity/Q1046164,http://dbpedia.org/resource/Agriculture_and_Agri-Food_Canada
130_179_67_140,Algal Taxonomy and Ecology Inc.,,
130_179_67_140,BaySys,,
130_179_67_140,C-Core,http://www.wikidata.org/entity/Q30253558,
130_179_67_140,CEOS,http://www.wikidata.org/entity/Q56091542,http://dbpedia.org/resource/Chief_executive_officer
130_179_67_140,City of Winnipeg Water and Waste Department,,
130_179_67_140,CoCoRaHS,,"http://dbpedia.org/resource/Community_Collaborative_Rain,_Hail_and_Snow_Network"
130_179_67_140,Environment Canada,http://www.wikidata.org/entity/Q348789,http://dbpedia.org/resource/Environment_Canada
130_179_67_140,Environment Canada Watershed and Modelling Group,,
130_179_67_140,Fisheries and Oceans Canada,http://www.wikidata.org/entity/Q349666,http://dbpedia.org/resource/Fisheries_and_Oceans_Canada
130_179_67_140,Government of North Dakota GIS Hub Data Portal,,
130_179_67_140,International Red River Board - part of the International Joint Commission (IJC),,
130_179_67_140,Lake Winnipeg Foundation,,
130_179_67_140,National Snow and Ice Data Center,http://www.wikidata.org/entity/Q1216646,http://dbpedia.org/resource/National_Snow_and_Ice_Data_Center
130_179_67_140,Natural Resources Canada,http://www.wikidata.org/entity/Q349770,http://dbpedia.org/resource/Natural_Resources_Canada
130_179_67_140,Netley-Libeau Marsh,,
130_179_67_140,Red River Basin Decision Information Network,,
130_179_67_140,Super Soil Science Team,,
130_179_67_140,UM Biology,,
130_179_67_140,University of Manitoba Watershed Systems Research Program,,
130_179_67_140,U.S. Geological Survey,http://www.wikidata.org/entity/Q193755,http://dbpedia.org/resource/United_States_Geological_Survey
130_179_67_140,World Wildlife Fund,http://www.wikidata.org/entity/Q117892,http://dbpedia.org/resource/World_Wide_Fund_for_Nature
abertos_xunta_gal,,,
africaopendata_org,Adi Eyal,,
africaopendata_org,Adriaan Ritter,,
africaopendata_org,African Network of Centres for Investigative Reporting,,
africaopendata_org,Afrobarometer,http://www.wikidata.org/entity/Q4690236,http://dbpedia.org/resource/Afrobarometer
africaopendata_org,Agri Info,,
africaopendata_org,Alexandros Korkovelos,,
africaopendata_org,Alice Smith,http://www.wikidata.org/entity/Q4726089,http://dbpedia.org/resource/Alice_Smith_School
africaopendata_org,aliiana,,
africaopendata_org,Alison Visser,,
africaopendata_org,Amy Payten,,
africaopendata_org,Andy Tatem,http://www.wikidata.org/entity/Q29397317,
africaopendata_org,Angello Obel,,
africaopendata_org,angello@obel.co,,
africaopendata_org,Armed Conflict Location and Event Data Project,http://www.wikidata.org/entity/Q18354074,
africaopendata_org,Bank of uganda,http://www.wikidata.org/entity/Q487300,http://dbpedia.org/resource/Bank_of_Uganda
africaopendata_org,Beatrice Sekabembe,,
africaopendata_org,BNEF,,
africaopendata_org,Branislav Schnierer,,
africaopendata_org,Brian Ssenabulya,,
africaopendata_org,Brother Printer Support Canada,,
africaopendata_org,Cape Town City Maps,,
africaopendata_org,Catherina Cader,,
africaopendata_org, Cecilia Briceño-Garmendia,,
africaopendata_org,Cecilia Briceño-Garmendia,,
africaopendata_org,CENI,http://www.wikidata.org/entity/Q56244063,http://dbpedia.org/resource/Cinderella
africaopendata_org,Centre for Higher Education Transformation,http://www.wikidata.org/entity/Q61933416,
africaopendata_org,Chris Elvidge,,
africaopendata_org,Christopher Arderne,,
africaopendata_org,Chris Trimble,,
africaopendata_org,CIESIN User Services,,
africaopendata_org,Clara Ivanescu,,
africaopendata_org,Climate Central,http://www.wikidata.org/entity/Q5133402,http://dbpedia.org/resource/Climate_Central
africaopendata_org,Climate Change and African Political Stability,,
africaopendata_org,Code for Africa,,
africaopendata_org,Code for Cameroon,,
africaopendata_org,Code for Ethiopia,,
africaopendata_org,Code for Kenya,,
africaopendata_org,Code for Nigeria,,
africaopendata_org,Code for Sierra Leone,,
africaopendata_org,Code for Tanzania,,
africaopendata_org,Code for Uganda,,
africaopendata_org,Collin Rukundo,,
africaopendata_org,CSBAG,http://www.wikidata.org/entity/Q24944417,
africaopendata_org,Cyril PERRET,,
africaopendata_org,Daily Monitor News paper,,
africaopendata_org,Daniel Paco,,
africaopendata_org,Data Zetu,,
africaopendata_org,David Okwii,,
africaopendata_org,Delany,http://www.wikidata.org/entity/Q21487227,http://dbpedia.org/resource/Samuel_R._Delany
africaopendata_org,dennisk,,
africaopendata_org,Department of Education,http://www.wikidata.org/entity/Q861556,http://dbpedia.org/resource/United_States_Department_of_Education
africaopendata_org,Department of Mineral Resources,http://www.wikidata.org/entity/Q56276062,http://dbpedia.org/resource/Ministry_of_Natural_Resources_and_Environment_(Thailand)
africaopendata_org,DevTrac,,
africaopendata_org,Diego Angemi,,
africaopendata_org,Dimitris Mentis,,
africaopendata_org,Division of Energy Systems Analysis,,
africaopendata_org,DLR - Deutsches Zentrum für Luft- und Raumfahrt,,
africaopendata_org,Dqlepiz,,
africaopendata_org,Eastern Cape Department of Education,,
africaopendata_org,"Eastern Cape Department of Education, South Africa",,
africaopendata_org,ECREEE,,
africaopendata_org,Edo Open Data Team,,
africaopendata_org,eHealth Africa,http://www.wikidata.org/entity/Q30268050,
africaopendata_org,Electorial Commission Uganda,,
africaopendata_org,Electricity Company of Ghana,http://www.wikidata.org/entity/Q16733491,
africaopendata_org,Elisa Portale,,
africaopendata_org,Energy Sector GIS Working Group Uganda,,
africaopendata_org,Etat,http://www.wikidata.org/entity/Q1069376,http://dbpedia.org/resource/Government_of_France
africaopendata_org,European Commission - DG Joint Research Centre Institute for Environment and Sustainability,,
africaopendata_org,Famory Bathily,,
