Portal ID,Dataset ID,Org Name 1,Org Neame 2,Reflected in DBpedia,Reflected in WikiData?,Reflected in Wikipedia Freetext?,Reflected in Wikipedia Infoboxes?
data_gov_ie,00011b37-033b-4255-8a71-07711fdbb6ae,"Department of Communications, Energy and Natural Resources","Department of Communications, Climate Action & Environment",FALSE,TRUE,TRUE,FALSE
data_qld_gov_au,00017373-416c-4166-bde0-e11d54ea0254,Energy and Water Supply,"Natural Resources, Mines and Energy",FALSE,FALSE,FALSE,FALSE
data_gov_uk,00029d8d-1be7-4435-9ef8-95dc8cc20e48,"Department for Business, Innovation and Skills","Department for Business, Energy and Industrial Strategy",FALSE,TRUE,FALSE,FALSE
iatiregistry_org,00039d25-4014-4841-a9b5-9108df23040c,UK - Department of Health,UK - Department of Health and Social Care (DHSC),TRUE,FALSE,TRUE,FALSE
data_gov_au,00077ae8-57b2-40b7-b4b5-491872163d70,South Australian Governments,"Department of Planning, Transport and Infrastructure",TRUE,TRUE,FALSE,FALSE
data_gov,0010b8db-5b8b-4911-8235-00672b579ac3,NSGIC GIS Inventory (aka Ramona),NSGIC GIS Inventory,FALSE,FALSE,FALSE,FALSE
iatiregistry_org,00116a42-7427-4907-875c-2209310d85b5,United Nations Development Programme,United Nations Development Programme (UNDP),TRUE,TRUE,TRUE,TRUE
data_sa_gov_au,00276f4b-4833-4695-9ceb-052c28ec3599,Commonwealth Datasets,Department of Finance,TRUE,FALSE,TRUE,TRUE
data_london_gov_uk,00279d46-fcfd-4f14-b365-1e2e17685748,London Datastore Archive,Association of Public Health Observatories,FALSE,FALSE,FALSE,FALSE
datahub_io,00326043-62b6-47a8-9a49-1aa226b7e2c4,London Datastore Archive,UK Power Networks,TRUE,FALSE,TRUE,FALSE
www_data_gc_ca,0032ce54-c5dd-4b66-99a0-320a7b5e99f2,Industry Canada | Industrie Canada,"Innovation, Science and Economic Development Canada",TRUE,TRUE,TRUE,TRUE
